DisplayMFL,DisplayFacilityName,DisplaySubcounty,DisplayCounty,DisplayMechanism,DisplayAgency,UploadStatus,UploadDate,Upload_monthYear,SiteCode,MPI_SiteCode,UploadDate_MPI,Upload_monthYear_MPI
18212,Kenya Ports Authority Staff Clinic,Mvita,MOMBASA,AFYA PWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
14511,Gilgil Military Regional Hospital,Gilgil,NAKURU,HJF-NAIROBI,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
18395,Getrude Embakasi Clinic,Embakasi East,NAIROBI,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
13087,Memorial Hospital,Kibra,NAIROBI,HJF-NAIROBI,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
14514,GK Farm Prisons Health Centre,Saboti,TRANS NZOIA,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
12325,Kinoro Sub-District Hospital,Imenti South,MERU,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
13044,Langata Women Prison Dispensary,Langata,NAIROBI,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
14244,Base Medical Centre,Laikipia East,LAIKIPIA,HJF-NAIROBI,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
17242,Kamolo Dispensary,Teso North,BUSIA,AMPATH PLUS,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11459,Kenya Navy (Mir) Hospital,Likoni,MOMBASA,HJF-NAIROBI,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
17725,Gertrude Komarock Clinic,Embakasi Central,NAIROBI,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
18887,Githogoro Runda Baptist Clinic (Getrudes Nairobi),Westlands,NAIROBI,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11843,Tawfiq Muslim Hospital,Malindi,KILIFI,AFYA PWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
13024,Kenyatta University Dispensary,Roysambu,NAIROBI,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
18176,Sex Workers Outreach Program (Kibra),Kibra,NAIROBI,UMB PACT ENDELEZA,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
21404,Teens Watch Centre,Msambweni,KWALE,AFYA PWANI,NULL,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
24622,HWWK Maua Dice,Igembe South,MERU,AFYA JIJINI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
12411,Kyawalia Dispensary,Kalama,MACHAKOS,CHS NAISHI,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
16112,Shikusa Health Centre,Shinyalu,KAKAMEGA,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
16116,Shiraha Health Centre,Butere,KAKAMEGA,AMPATH PLUS,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11393,Shimo La Tewa Annex Dispensary (GK Prison),Kisauni,MOMBASA,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
19394,SWOP City Clinic,Starehe,NAIROBI,UMB PACT ENDELEZA,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11701,Ndavaya Health Centre,Kinango,KWALE,AFYA PWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
19865,Wikoteng Dispensary,Rangwe,HOMA BAY,EGPAF TIMIZA,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
15568,Sigowet Sub-District Hospital,Sigowet/Soin,KERICHO,HJF-SOUTH RIFT VALLEY,DOD,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
13870,Nyadenda Health Centre,Suba South,HOMA BAY,EGPAF TIMIZA,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
15292,Nakwamoru Health Centre,Turkana South,TURKANA,AMPATH PLUS,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
20153,Kasewe Dispensary,Kabondo Kasipul,HOMA BAY,EGPAF TIMIZA,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
13913,Kinara Hospital,Nyamira,NYAMIRA,AFYA ZIWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
11425,Jambo Healthcare Limited,Nyali,MOMBASA,AFYA PWANI,USAID,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
13709,Kodiaga Prison Health Centre,Kisumu West,KISUMU,LVCT PRISONS,CDC,Not Uploaded Care & Treatment or PKV(MPI),NULL,NULL,NULL,NULL,NULL,NULL
10019,Mangu (Aip) Dispensary,Gatundu North,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/11/2021,Jun-21,10019,10019,06/11/2021,Jun-21
10019,Mangu (Aip) Dispensary,Gatundu North,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/12/2021,Mar-21,10019,10019,03/12/2021,Mar-21
10019,Mangu (Aip) Dispensary,Gatundu North,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/07/2021,May-21,10019,10019,05/07/2021,May-21
10019,Mangu (Aip) Dispensary,Gatundu North,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/03/2020,Sep-20,10019,10019,09/03/2020,Sep-20
10019,Mangu (Aip) Dispensary,Gatundu North,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/21/2020,Aug-20,10019,10019,08/21/2020,Aug-20
10019,Mangu (Aip) Dispensary,Gatundu North,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/21/2021,Apr-21,10019,10019,04/21/2021,Apr-21
10044,Bamboo Health Centre,Kinangop,NYANDARUA,AFYA JIJINI,USAID,Both Care & Treatment + PKV(MPI) uploaded,06/09/2021,Jun-21,10044,10044,06/09/2021,Jun-21
10044,Bamboo Health Centre,Kinangop,NYANDARUA,AFYA JIJINI,USAID,Both Care & Treatment + PKV(MPI) uploaded,10/02/2020,Oct-20,10044,10044,10/02/2020,Oct-20
10044,Bamboo Health Centre,Kinangop,NYANDARUA,AFYA JIJINI,USAID,Both Care & Treatment + PKV(MPI) uploaded,01/06/2021,Jan-21,10044,10044,01/06/2021,Jan-21
10044,Bamboo Health Centre,Kinangop,NYANDARUA,AFYA JIJINI,USAID,Only Care & Treatment Uploaded,09/15/2020,Sep-20,10044,NULL,NULL,NULL
10044,Bamboo Health Centre,Kinangop,NYANDARUA,AFYA JIJINI,USAID,Only Care & Treatment Uploaded,06/14/2020,Jun-20,10044,NULL,NULL,NULL
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/09/2020,Jul-20,10049,10049,07/09/2020,Jul-20
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/15/2020,Oct-20,10049,10049,10/15/2020,Oct-20
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/10/2020,Dec-20,10049,10049,12/10/2020,Dec-20
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,10049,10049,05/04/2021,May-21
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,01/18/2021,Jan-21,10049,NULL,NULL,NULL
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/04/2021,Jun-21,10049,10049,06/04/2021,Jun-21
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,06/17/2020,Jun-20,10049,NULL,NULL,NULL
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,02/11/2021,Feb-21,10049,NULL,NULL,NULL
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/21/2021,Apr-21,10049,10049,04/21/2021,Apr-21
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/14/2020,Sep-20,10049,10049,09/14/2020,Sep-20
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/10/2021,Mar-21,10049,10049,03/10/2021,Mar-21
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/19/2020,Nov-20,10049,10049,11/19/2020,Nov-20
10049,Baricho Health Centre,Kirinyaga West,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/14/2020,Aug-20,10049,10049,08/14/2020,Aug-20
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/07/2021,Jan-21,10055,10055,01/07/2021,Jan-21
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,11/10/2020,Nov-20,10055,NULL,NULL,NULL
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,09/30/2020,Sep-20,10055,NULL,NULL,NULL
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,03/02/2021,Mar-21,10055,NULL,NULL,NULL
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/04/2021,Jun-21,10055,10055,06/04/2021,Jun-21
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,04/02/2021,Apr-21,10055,NULL,NULL,NULL
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,08/07/2020,Aug-20,10055,NULL,NULL,NULL
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,07/03/2020,Jul-20,10055,NULL,NULL,NULL
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,10055,10055,05/04/2021,May-21
10055,Bellevue Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/03/2021,Feb-21,10055,10055,02/03/2021,Feb-21
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,06/10/2020,Jun-20,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,01/25/2021,Jan-21,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/08/2021,Jun-21,10100,10100,06/08/2021,Jun-21
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,09/09/2020,Sep-20,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,10/02/2020,Oct-20,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,12/03/2020,Dec-20,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,08/10/2020,Aug-20,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,05/05/2021,May-21,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,07/03/2020,Jul-20,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,03/02/2021,Mar-21,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,10100,10100,04/01/2021,Apr-21
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,11/04/2020,Nov-20,10100,NULL,NULL,NULL
10100,Consolata Mission Hospital (Mathari),Nyeri Central,NYERI,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,02/03/2021,Feb-21,10100,NULL,NULL,NULL
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/08/2020,Jul-20,10110,10110,07/08/2020,Jul-20
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,01/14/2021,Jan-21,10110,NULL,NULL,NULL
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/11/2021,Mar-21,10110,10110,03/11/2021,Mar-21
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/14/2020,Aug-20,10110,10110,08/14/2020,Aug-20
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/11/2021,Feb-21,10110,10110,02/11/2021,Feb-21
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/19/2021,May-21,10110,10110,05/19/2021,May-21
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/15/2020,Oct-20,10110,10110,10/15/2020,Oct-20
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,06/22/2020,Jun-20,10110,NULL,NULL,NULL
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,10110,10110,06/03/2021,Jun-21
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/21/2021,Apr-21,10110,10110,04/21/2021,Apr-21
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/24/2020,Nov-20,10110,10110,11/24/2020,Nov-20
10110,Difathas Health Centre,Kirinyaga South,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/10/2020,Sep-20,10110,10110,09/10/2020,Sep-20
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,08/12/2020,Aug-20,10170,NULL,NULL,NULL
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/04/2021,Feb-21,10170,10170,02/04/2021,Feb-21
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,10170,10170,05/04/2021,May-21
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/17/2020,Nov-20,10170,10170,11/17/2020,Nov-20
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/11/2021,Jan-21,10170,10170,01/11/2021,Jan-21
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,04/01/2021,Apr-21,10170,NULL,NULL,NULL
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,10170,10170,06/03/2021,Jun-21
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,06/02/2020,Jun-20,10170,NULL,NULL,NULL
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,09/30/2020,Sep-20,10170,NULL,NULL,NULL
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,03/01/2021,Mar-21,10170,NULL,NULL,NULL
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,07/03/2020,Jul-20,10170,NULL,NULL,NULL
10170,Endarasha Rural Health Centre,Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,10/29/2020,Oct-20,10170,NULL,NULL,NULL
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/04/2021,Feb-21,10171,10171,02/04/2021,Feb-21
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,10/09/2020,Oct-20,10171,NULL,NULL,NULL
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,08/03/2020,Aug-20,10171,NULL,NULL,NULL
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/11/2021,Jan-21,10171,10171,01/11/2021,Jan-21
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,06/03/2020,Jun-20,10171,NULL,NULL,NULL
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,03/02/2021,Mar-21,10171,NULL,NULL,NULL
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,11/04/2020,Nov-20,10171,NULL,NULL,NULL
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/11/2020,Dec-20,10171,10171,12/11/2020,Dec-20
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,09/10/2020,Sep-20,10171,NULL,NULL,NULL
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,07/03/2020,Jul-20,10171,NULL,NULL,NULL
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,10171,10171,06/03/2021,Jun-21
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,10171,10171,04/01/2021,Apr-21
10171,Engineer District Hospital,Kinangop,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/03/2021,May-21,10171,10171,05/03/2021,May-21
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/02/2021,Jun-21,10199,10199,06/02/2021,Jun-21
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/03/2021,May-21,10199,10199,05/03/2021,May-21
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,10199,10199,04/01/2021,Apr-21
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/09/2020,Dec-20,10199,10199,12/09/2020,Dec-20
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/11/2021,Jan-21,10199,10199,01/11/2021,Jan-21
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,06/18/2020,Jun-20,10199,NULL,NULL,NULL
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,08/13/2020,Aug-20,10199,NULL,NULL,NULL
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/11/2020,Nov-20,10199,10199,11/11/2020,Nov-20
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,09/10/2020,Sep-20,10199,NULL,NULL,NULL
10199,Gaichanjiru Hospital,Kandara,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/04/2021,Mar-21,10199,10199,03/04/2021,Mar-21
